id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
551936,Polska,kłobucki,"Wręczyca Wielka","Wręczyca Wielka",Częstochowska,12A,00-000,cb3c0440e9e27559eaf8d37a4c952dacaa34fc89
552633,Polska,gliwicki,Wielowieś,Sieroty,"Świętego Jana",5,44-187,436f1581dc7ff8a9f5a9144118a4d0d5d5f20080
554022,Polska,bielski,Szczyrk,Szczyrk,Myśliwska,137,43-370,368a81af728676a8f9303d7dc804438f6bef6078
554050,Polska,bielski,Szczyrk,Szczyrk,Beskidzka,141A,43-370,096866b8b0a99e455c673d07c3c0b7826ef0d9b3
554161,Polska,bielski,Szczyrk,Szczyrk,Bratków,10H,43-370,5c28d4939e63fcabea73aec72244c225e2d95237
554282,Polska,bielski,Szczyrk,Szczyrk,Górska,88,43-370,4268cdb8d737fd1ebae032bc3fecc45e7842ae11
555672,Polska,tarnogórski,Zbrosławice,Zbrosławice,Traugutta,24,42-674,32ba380c168f592b9ac2552e7b23e226153b290a
555974,Polska,mikołowski,Wyry,Wyry,Kopaniny,43,43-175,a48490d501c6ae96f35c5e3c6b69f70ece94982c
556062,Polska,wodzisławski,Marklowice,Marklowice,Jabłoniowa,30A,44-321,270509195678c96dcbc266e90396ad6de557b8f4
556391,Polska,Rybnik,Rybnik,Rybnik,Patriotów,25,44-253,4f63fc268e80086b3163f3325d2245e2236e31a1
557040,Polska,częstochowski,Mstów,Brzyszów,Częstochowska,110,42-244,b4bccecacaefb50457cd6fddaec60ac30d055c25
558071,Polska,mikołowski,Wyry,Gostyń,Rybnicka,82C,43-176,9be41cd55496e8fa85016d475ee3841bc853ccfe
558771,Polska,zawierciański,Poręba,Poręba,Siewierska,33,42-480,08b1bf31d9b8638b9c79f67a010c256b2ed86830
559722,Polska,częstochowski,"Kamienica Polska",Osiny,Częstochowska,108A,42-260,dc23ab3d2eadedb3ea59bb1db9a160af684000c3
560176,Polska,częstochowski,"Kamienica Polska","Rudnik Wielki",Słoneczna,107,42-260,aa77d796c83e0f899ed16cd9a71aa5f97b350c71
560247,Polska,częstochowski,"Kamienica Polska",Wanaty,Osińska,35,42-260,f6711112133ce796cc27dafbea90d9d48da73f8a
560731,Polska,częstochowski,"Kamienica Polska","Rudnik Wielki",Słoneczna,86,42-260,b1fe61935a370251c36ebb3dccad7ec6d4a57809
561871,Polska,częstochowski,Mstów,Kobyłczyce,,86,42-244,e45c9ec2af11a6f5d6a5f16067e52c3404fc167a
562856,Polska,żywiecki,Radziechowy-Wieprz,Radziechowy,"św. Marcina",589,34-381,b0259dbfa0f4e3d411fda54ebf00fc174437aa44
563701,Polska,Chorzów,Chorzów,Chorzów,Osiedlowa,14,41-500,fe7d1686dc3e9406748010dd6d3e60f0dcdf3df2
564275,Polska,Gliwice,Gliwice,Gliwice,Rolników,419,44-141,7cfe38a0ba3f731b9c84a2458be7fc358e9c2483
564660,Polska,Gliwice,Gliwice,Gliwice,"Juliana Fałata",10,44-102,11f365e7f5cd02c60996413e702a7c2ba8413f64
565392,Polska,Gliwice,Gliwice,Gliwice,Przyszłości,23A,44-119,0853eab37ee7897884d4f03257c5d90c98d5cbac
566470,Polska,Gliwice,Gliwice,Gliwice,"Ignacego Daszyńskiego",694A,44-151,248fc93f3c83cc5149139bb803db838eb657121b
567208,Polska,Gliwice,Gliwice,Gliwice,"Juliusza Słowackiego",52,44-100,ea5bdc0d8a3bae5b8a9e31eef6f5ec9474f3b4f1
569009,Polska,Gliwice,Gliwice,Gliwice,"Dolnej Wsi",119,44-100,7555ab046c0ab4c1c2d2fcdb8a5964d7c2a3d5c8
569162,Polska,Gliwice,Gliwice,Gliwice,"Cypriana Norwida",14,44-100,5afad72fd81f24ae6eea61717ceac3b5d28672cd
569724,Polska,Gliwice,Gliwice,Gliwice,Czapli,47,44-122,76bce33c8b52b6a4157d9b144b57b4519753f220
569792,Polska,Gliwice,Gliwice,Gliwice,"Jerzego Kukuczki",5,44-105,d9638050db07679173cc37cddf6ae3ed6e03cbe7
570401,Polska,Gliwice,Gliwice,Gliwice,Dolna,5,44-100,dc668c317d3aaec640a02f6e39f2551d0a351327
570421,Polska,Gliwice,Gliwice,Gliwice,"Stanisława Dubois",32,44-100,7e462844110c56183c776038c3cc386ca564e2ca
570680,Polska,Gliwice,Gliwice,Gliwice,"Młodych Patriotów",5,44-122,0ba2beeb3c420343d8112aa1fda0e8c0ffb84f17
571525,Polska,Gliwice,Gliwice,Gliwice,Granitowa,3,44-121,591fe27a37d47622d45ae5fcfa4f56d61e91d2a5
571596,Polska,Gliwice,Gliwice,Gliwice,Tokarska,84,44-151,d8ca9dce9833c7bdc87c9d1404950a56ce69966e
572270,Polska,Gliwice,Gliwice,Gliwice,Świerkowa,20,44-117,3e4c17d1dde81cdfc8cace50173f60d209c43b73
572747,Polska,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,Różana,11,43-309,707ca44d03fab1eab2ec430117e1f079fe8c7f19
574632,Polska,Gliwice,Gliwice,Gliwice,Willowa,7,44-121,281cd26fe00fb4080026076e3870f95b537d9966
575068,Polska,Gliwice,Gliwice,Gliwice,Tarnogórska,150,44-102,a527b6be36cd82285aed8a3f0b8cce74c7734976
575133,Polska,Gliwice,Gliwice,Gliwice,Wolności,34,44-109,ba8099ab31e1e48ad43dbcdfccd1dd7b683bd1ac
575574,Polska,Gliwice,Gliwice,Gliwice,Łabędzka,44,44-121,eaf11391912c1bc56e641ff6c93ec98d076b63ff
575960,Polska,Gliwice,Gliwice,Gliwice,"Stefana Żeromskiego",73A,44-100,477a9aa16efc3d4b320161f06ea251b34232b487
576835,Polska,Gliwice,Gliwice,Gliwice,"Gabrieli Zapolskiej",14,44-113,6aae8a6bd6bdb82e7e7a2e044e26562c5b1c2f77
577126,Polska,Gliwice,Gliwice,Gliwice,Szafirowa,43,44-121,3f531f3758fffee808d05b5cb344b44f04ab2ea3
577847,Polska,Gliwice,Gliwice,Gliwice,"Kornela Makuszyńskiego",9,44-113,26ed8e7bce9d89dddeec1fb65d581371368c9c67
578143,Polska,Gliwice,Gliwice,Gliwice,"Zygmunta Starego",33,44-100,d7dc1faa2b0eb819ccd8118ad419e30d09007645
578636,Polska,Gliwice,Gliwice,Gliwice,Raciborska,7,44-100,06f3cc5080987d9b7cb73637bec0972aaa2bb2dd
578891,Polska,Gliwice,Gliwice,Gliwice,"Stefana Rogozińskiego",18,44-105,e15764f99aa68b8202250c001f4559f87e25c514
579469,Polska,Gliwice,Gliwice,Gliwice,Radomska,67,44-164,219b9b4742c3f896b945d659262aad5dd423e1da
580453,Polska,Gliwice,Gliwice,Gliwice,"Nad Kanałem",1,44-109,c5ceb4b2b4bb665eb9f1b22d39ddb85b84b7b2be
581883,Polska,Gliwice,Gliwice,Gliwice,Kozielska,71,44-121,fe418cb6922923d80646e2a7cf63ad7bdfbdd443
582998,Polska,tarnogórski,"Tarnowskie Góry","Tarnowskie Góry",Bocianów,17,42-603,59074c0eb9cc34c7478a1951fd2a3345750ebf9a
583853,Polska,częstochowski,Lelów,Nakło,,107,42-235,2d2392d4c7069cb4c32060918c4460e933e5f954
585948,Polska,cieszyński,Goleszów,"Kozakowice Górne","dra Andrzeja Cinciały",75,43-440,70d5a54b9619c4b1f8ebc42b397f861da8de0db2
