id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
5420,Polska,cieszyński,Skoczów,"Bładnice Dolne",Beskidzka,156,43430,0d1ad5b19a49615c27dd3f828d2ec048aa68f979
5739,Polska,cieszyński,Skoczów,Pierściec,Dworska,31A,43430,1059dd62f4449df999c124c1abaf0e10e87ff22b
5890,Polska,cieszyński,Skoczów,"Bładnice Dolne",Torfowa,30,43430,669e8de62ec6fb0d78263ed3c4c0452f326d5ca6
6005,Polska,żywiecki,Rajcza,Rajcza,,130,34370,e172fc42bf9bdf784ffc4847b6e9688e9932134b
6206,Polska,żywiecki,Rajcza,"Rycerka Dolna",,9B,34370,b46dad5b72333f4ca155156384034674bdb8beb1
6311,Polska,żywiecki,Rajcza,"Rycerka Dolna",,190,34370,29cf2474e02445794ab5422e0bc6e30661d9cc8b
6350,Polska,żywiecki,Rajcza,Rajcza,,198,34370,b3adc2d9e8b4547fdd28dc12cc68307b1429c2f1
6501,Polska,żywiecki,Rajcza,Zwardoń,,96,34373,b66862a90a92df1fa15e844895324b1b30526038
6521,Polska,żywiecki,Rajcza,Rajcza,,13,34370,5f22080887679b4e969c90e4fa6d3ab6fd94263f
6759,Polska,żywiecki,Rajcza,Rajcza,,212,34370,aaae8852adddd3e6e1588cf1a1803e2e6a353356
6770,Polska,żywiecki,Rajcza,Rajcza,Ujsolska,3,34370,cc4bee6d34b024d5acdf718559d6c3d2be728d0e
6837,Polska,żywiecki,Rajcza,"Rycerka Dolna",,156,34370,3a8368e091677e0ae531df890a0c9be8fd69450e
7058,Polska,żywiecki,Rajcza,Rajcza,,61,34370,76b9c58b9f6a778768ab28fc97a92ae33389d303
7580,Polska,rybnicki,Świerklany,Jankowice,Rybnicka,62B,44264,3e0caaadb3f82c3c4909dc228f589ff017c29ecd
7624,Polska,myszkowski,Żarki,Żarki,Częstochowska,51,42310,091752ac8e91a2a7ae766e4ef444fbe97e942932
7731,Polska,rybnicki,Świerklany,Jankowice,Jaworowa,12,44264,41b8b711e0be0dfe928f8cf7c120453277727799
8026,Polska,myszkowski,Żarki,Żarki,"marsz. Józefa Piłsudskiego",42,42310,e9dc88ac041b0401e98ac16eedff4facdcb0b856
8169,Polska,myszkowski,Żarki,Żarki,"Stanisława Moniuszki",14,42310,f8abd78641a2c7963842ab15ae2f70cfdb2f52e9
8240,Polska,cieszyński,Skoczów,Pogórze,Krucza,8,43430,32ac591044d8277065af2e857b564997b9a33072
8855,Polska,myszkowski,Żarki,Żarki,Wschodnia,2a,42310,7119b218174060a98bf3181e7ce57591eb3d6caf
9106,Polska,myszkowski,Żarki,Żarki,"marsz. Józefa Piłsudskiego",58,42310,b1e75cf218fadaafca21ca919c5bf269942f5783
9197,Polska,myszkowski,Żarki,Przybynów,Częstochowska,45,42310,ce6b2a7f816f32d4c4859147f458cfd14db20a51
9520,Polska,myszkowski,Żarki,Żarki,Mokra,5b,42310,6c14d8aff9dab1467f1bc2c76aded1aecbde7c33
9614,Polska,myszkowski,Żarki,Żarki,Leśniowska,43,42310,5562faadc47de8adfe9a3e18185a967a880e83c3
9662,Polska,myszkowski,Żarki,Żarki,"Janusza Kusocińskiego",3,42310,3d0f7b23e0ad40aacf39d14edd8b3dd9769c4733
9673,Polska,rybnicki,Świerklany,Świerklany,Górna,1C,44266,049d426a040356a656832258c5bed16c8b533833
9684,Polska,rybnicki,Świerklany,Świerklany,"Władysława Jagiełły",22,44266,bbf7059dbab0bdc70938c3fffbb9055918cd6158
9729,Polska,żywiecki,Rajcza,Rajcza,,140b,34370,ae686dd694ce2fd512af262c9bbae264c4abc8eb
9784,Polska,żywiecki,Rajcza,Rajcza,,80,34370,2812bbda073b71f82269db9cad296acba3fb136d
9868,Polska,żywiecki,Rajcza,"Rycerka Dolna",,109,34370,e3bffc670f03445c97af7b39d8d4b91432ae5f25
10048,Polska,rybnicki,Świerklany,Jankowice,Krótka,12,44264,b4d417257ef5c68b9efcc78a4792327069f39df0
10062,Polska,rybnicki,Świerklany,Świerklany,Aleja,42B,44266,7b4c3486f3f0be8b8499c4d22f0363e3f72f2714
10273,Polska,rybnicki,Świerklany,Jankowice,Krótka,14,44264,67e5a03cc978dd3a4485be789ff8ebed94da3e08
10329,Polska,rybnicki,Świerklany,Świerklany,Szklarnia,10,44266,a50b3441cdd8bac6dd7f1926888cac8fc36b1827
10366,Polska,rybnicki,Świerklany,Świerklany,Kasztelańska,10,44266,acaa910b47185585179f7d3b33c868c8e60e9875
10512,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Górna,3,43230,c37e6ed0ac09298b3d33aee8b44a8f26c0e5dd22
10737,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Szkolna,143f,43230,e65d6abb8b4876915cfa024e81b75f0440d58b53
